                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6643,                 8.2465,                 2.3713,                 0.0008,                    0.2,                 0.0007,                0.00014,                 3.3557,                 8.9645,                 2.8335,                      0,                      0,                      0
                      2,                 2.8106,                 6.8614,                 2.4376,                0.00129,                    0.4,                0.00457,                0.00065,                 3.0845,                 6.9514,                 2.4358,              1.557e-05,              1.557e-05,              1.557e-05
                      3,                 2.4085,                 6.4224,                 2.0264,                0.16308,                    0.3,                0.20459,                0.11973,                 2.0903,                 5.5973,                 1.9335,             2.8939e-05,             2.8939e-05,             2.8939e-05
                      4,                 2.4032,                 4.5704,                 1.9081,                0.96601,                    0.4,                 0.4832,                0.17125,                 1.8633,                 4.1556,                 1.7556,             4.0108e-05,             4.0108e-05,             4.0108e-05
                      5,                 2.2296,                 4.0663,                 1.8164,                0.89231,                    0.5,                0.41899,                0.13688,                 2.1977,                 4.0305,                 1.8083,             4.9076e-05,             4.9076e-05,             4.9076e-05
                      6,                 2.0738,                 6.1745,                 1.7239,                0.80004,                    0.4,                0.38412,                0.10621,                 2.1627,                 4.0991,                 1.7625,             5.5845e-05,             5.5845e-05,             5.5845e-05
                      7,                 1.9581,                 5.1199,                 1.7228,                0.73346,                0.44046,                0.43297,                0.15367,                  2.098,                 4.0323,                 1.7351,             6.0412e-05,             6.0412e-05,             6.0412e-05
                      8,                 1.7825,                 4.7643,                 1.4239,                  0.285,                    0.8,                0.51696,                0.23386,                 1.9158,                 3.9205,                 1.6711,             6.2779e-05,             6.2779e-05,             6.2779e-05
                      9,                 1.4464,                 4.5335,                 1.4635,                0.33735,                0.79324,                0.59497,                0.28172,                 1.6572,                  3.961,                 1.5922,             6.2946e-05,             6.2946e-05,             6.2946e-05
                     10,                 1.7628,                 3.8228,                   1.45,                0.35703,                    0.8,                 0.6622,                0.35825,                 1.5615,                 3.7997,                 1.5075,             6.0912e-05,             6.0912e-05,             6.0912e-05
                     11,                 1.4661,                 3.8375,                 1.3843,                0.89779,                    0.5,                0.71595,                 0.4068,                 1.5168,                 3.7757,                 1.4521,             5.6678e-05,             5.6678e-05,             5.6678e-05
                     12,                 1.2438,                 3.5155,                 1.3346,                0.91464,                0.48782,                0.72903,                0.42751,                 1.4285,                 3.8046,                 1.3805,             5.0243e-05,             5.0243e-05,             5.0243e-05
                     13,                 1.3441,                 3.4296,                 1.2433,                0.91565,                 0.4939,                0.79803,                0.48938,                 1.3255,                 3.9585,                 1.3189,             4.1608e-05,             4.1608e-05,             4.1608e-05
                     14,                 1.2898,                 3.6672,                 1.3012,                0.46719,                0.77815,                0.79292,                0.47048,                 1.2629,                 4.1169,                  1.286,             3.0773e-05,             3.0773e-05,             3.0773e-05
                     15,                 1.1152,                 3.0901,                 1.2473,                0.42153,                    0.7,                0.80595,                0.47421,                 1.2513,                 3.9787,                 1.2684,             1.7737e-05,             1.7737e-05,             1.7737e-05
